Fitness,ExampleReversalStrategy.ExitStrategy.StopLoss,ExampleReversalStrategy.ExitStrategy.TargetProfit
4.34910246363417,0.41,64.01
4.34910246363417,0.61,0.01
-1.73664496856369,0.01,56.01
7.82994284589018,0.91,96.01
7.82994284589018,0.81,32.01
4.34910246363417,0.51,88.01
-2.91626838889776,0.01,40.01
3.39915136570606,0.21,72.01
8.04552577458429,0.21,80.01
4.34910246363417,0.41,12.01
7.82994284589018,0.81,16.01
-2.89485957851363,0.01,44.01
3.67192617769306,0.31,36.01
3.39915136570606,0.21,4.01
11.0583426706572,0.11,48.01
7.82994284589018,0.71,68.01
6.55328724869467,0.11,84.01
3.67192617769306,0.31,52.01
16.5929827368319,0.11,8.01
4.34910246363417,0.61,76.01
4.34910246363417,0.51,24.01
7.82994284589018,0.91,20.01
25.3375329311895,0.31,92.01
7.82994284589018,0.71,28.01
4.34910246363417,0.41,60.01
3.39915136570606,0.21,0.01
4.34910246363417,0.61,80.01
11.0583426706572,0.11,36.01
3.67192617769306,0.31,84.01
4.34910246363417,0.41,16.01
7.82994284589018,0.81,64.01
7.82994284589018,0.71,60.01
4.34910246363417,0.41,68.01
6.55328724869467,0.11,88.01
4.34910246363417,0.51,84.01
4.34910246363417,0.51,32.01
7.82994284589018,0.81,24.01
7.82994284589018,0.71,8.01
11.0583426706572,0.11,68.01
3.67192617769306,0.31,76.01
4.34910246363417,0.61,36.01
6.55328724869467,0.11,60.01
4.34910246363417,0.41,8.01
3.39915136570606,0.21,96.01
7.82994284589018,0.91,80.01
7.82994284589018,0.91,28.01
7.82994284589018,0.71,96.01
7.82994284589018,0.71,84.01
4.34910246363417,0.51,60.01
7.82994284589018,0.91,16.01
7.39153128367518,0.41,80.01
4.34910246363417,0.41,96.01
7.82994284589018,0.71,88.01
4.34910246363417,0.51,60.01
7.82994284589018,0.81,96.01
7.82994284589018,0.71,64.01
7.39153128367518,0.41,96.01
7.82994284589018,0.81,68.01
11.0583426706572,0.11,96.01
7.82994284589018,0.71,36.01
7.82994284589018,0.91,88.01
6.55328724869467,0.11,80.01
4.34910246363417,0.51,68.01
16.5929827368319,0.11,32.01
7.82994284589018,0.81,84.01
7.82994284589018,0.71,24.01
7.82994284589018,0.81,88.01
7.82994284589018,0.71,16.01
7.82994284589018,0.91,68.01
7.82994284589018,0.91,64.01
7.82994284589018,0.71,16.01
7.39153128367518,0.41,88.01
11.0583426706572,0.11,24.01
7.82994284589018,0.71,16.01
